RecordSize,ZipCode,PlaceName,State,County,Lat,Long,calculate this,FileType=CSV,Version=1.0,SizeType=ASCII,us_postal_codes_ROWS_RANDOMIZED.pki,PKISchema=CSV,255,FieldsPerRecord=5,PKIFormat=PKI,IndexEndOfHeaderRecord,
43,96737,Ocean View,HI,Hawaii,19.1002,-155.726
45,97134,Oceanside,OR,Tillamook,45.4549,-123.965
55,63701,Cape Girardeau,MO,Cape Girardeau,37.3169,-89.5459
34,88250,Hope,NM,Eddy,32.8156,-104.73
41,64444,Edgerton,MO,Platte,39.4742,-94.6352
42,15450,La Belle,PA,Fayette,39.9983,-79.9754
47,94278,Sacramento,CA,Sacramento,38.5816,-121.494
43,97875,Stanfield,OR,Umatilla,45.786,-119.212
42,68113,Offutt Afb,NE,Sarpy,41.2563,-95.9404
43,61536,Hanna City,IL,Peoria,40.6798,-89.7952
42,96837,Honolulu,HI,Honolulu,21.315,-157.863
51,93465,Templeton,CA,San Luis Obispo,35.5551,-120.711
40,92807,Anaheim,CA,Orange,33.8544,-117.786
42,29936,Ridgeland,SC,Jasper,32.4807,-80.9804
37,45646,Latham,OH,Pike,39.0804,-83.3283
38,98119,Seattle,WA,King,47.6379,-122.364
44,18660,Wapwallopen,PA,Luzerne,41.068,-76.0857
39,45769,Pomeroy,OH,Meigs,39.0607,-82.0331
40,72450,Paragould,AR,Greene,36.06,-90.5251
38,14058,Elba,NY,Genesee,43.0897,-78.1704
36,16023,Cabot,PA,Butler,40.7924,-79.76
44,38041,Henning,TN,Lauderdale,35.6593,-89.6962
40,38754,Isola,MS,Humphreys,33.2471,-90.604
42,12592,Wassaic,NY,Dutchess,41.7759,-73.5544
39,74761,Swink,OK,Choctaw,34.0179,-95.2022
47,33862,Lake Placid,FL,Highlands,27.2931,-81.3629
43,55329,Eden Valley,MN,Meeker,45.302,-94.6039
39,28692,Vilas,NC,Watauga,36.2574,-81.7652
39,56563,Moorhead,MN,Clay,46.8739,-96.7695
38,95913,Artois,CA,Glenn,39.6197,-122.193
45,62794,Springfield,IL,Sangamon,39.7495,-89.606
39,4022,Denmark,ME,Oxford,43.9755,-70.7924
37,71748,Ivan,AR,Dallas,33.9118,-92.4246
50,76908,Goodfellow Afb,TX,Tom Green,31.4321,-100.402
41,73083,Edmond,OK,Oklahoma,35.6665,-97.4654
47,85376,Sun City West,AZ,Maricopa,33.662,-112.341
42,38769,Rosedale,MS,Bolivar,33.8432,-90.9923
42,71461,New Llano,LA,Vernon,31.1149,-93.2716
44,34637,Land O Lakes,FL,Pasco,28.2782,-82.4625
39,80479,Toponas,CO,Routt,40.0603,-106.808
39,80236,Denver,CO,Denver,39.6535,-105.038
47,51536,Hancock,IA,Pottawattamie,41.3832,-95.3445
39,88124,Melrose,NM,Curry,34.4479,-103.632
41,37755,Helenwood,TN,Scott,36.4329,-84.5381
44,37769,Lake City,TN,Anderson,36.2032,-84.1386
39,74631,Blackwell,OK,Kay,36.8006,-97.2867
44,61108,Rockford,IL,Winnebago,42.2514,-89.0235
40,25514,Fort Gay,WV,Wayne,38.1335,-82.5541
39,51531,Elk Horn,IA,Shelby,41.5829,-95.07
46,35754,Laceys Spring,AL,Morgan,34.4996,-86.6129
39,56473,Pillager,MN,Cass,46.3607,-94.4895
37,25570,Wayne,WV,Wayne,38.2258,-82.4339
41,30019,Dacula,GA,Gwinnett,33.9883,-83.8795
43,39083,Hazlehurst,MS,Copiah,31.8562,-90.4051
45,70662,Sugartown,LA,Beauregard,30.8277,-93.017
44,72741,Johnson,AR,Washington,36.1329,-94.1655
48,11055,Port Washington,NY,Nassau,40.7548,-73.6018
48,22432,Burgess,VA,Northumberland,37.8687,-76.3542
41,47305,Muncie,IN,Delaware,40.1933,-85.3862
39,51244,Matlock,IA,Sioux,43.2439,-95.9353
41,47435,Helmsburg,IN,Brown,39.1963,-86.2302
44,20620,Callaway,MD,St. Mary's,38.2275,-76.521
41,46111,Brooklyn,IN,Morgan,39.5396,-86.3701
38,71466,Otis,LA,Rapides,31.2077,-92.7392
43,22555,Stafford,VA,Stafford,38.4221,-77.4083
47,40075,Turners Station,KY,Henry,38.5521,-85.1019
36,50252,Swan,IA,Marion,41.4636,-93.301
36,83414,Alta,WY,Teton,43.8886,-110.949
39,60204,Evanston,IL,Cook,42.0411,-87.6901
47,14729,East Otto,NY,Cattaraugus,42.3971,-78.7432
44,95436,Forestville,CA,Sonoma,38.4923,-122.904
43,41073,Bellevue,KY,Campbell,39.1024,-84.4787
